Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
295,Uncharacterized,9.91E-08,0,0,1,0,0,1,1,0,1,0,1
296,Uncharacterized,9.80E-08,0,0,0,0,0,1,0,0,0,1,1
297,Uncharacterized,9.72E-08,0,0,0,0,0,1,0,0,1,1,1
298,Uncharacterized,9.67E-08,0,0,0,0,0,1,0,0,0,1,0
299,Uncharacterized,9.64E-08,0,0,1,1,0,1,1,0,1,0,0
300,Uncharacterized,9.55E-08,0,0,0,0,0,0,0,1,0,1,0
301,Uncharacterized,9.53E-08,0,1,1,0,0,1,0,0,0,0,0
302,Uncharacterized,9.48E-08,0,1,0,0,0,1,1,1,1,1,1
303,Uncharacterized,9.36E-08,0,1,1,0,0,0,1,0,0,0,0
304,Uncharacterized,9.31E-08,1,0,0,0,0,1,1,0,1,0,0
305,Uncharacterized,9.29E-08,0,1,0,0,0,0,0,0,0,1,0
306,Uncharacterized,9.24E-08,1,0,0,0,0,0,1,0,0,1,1
307,Uncharacterized,9.23E-08,1,0,0,0,0,1,0,0,0,0,0
308,Uncharacterized,9.20E-08,1,0,0,0,0,0,1,0,0,0,0
309,Uncharacterized,9.18E-08,0,1,1,0,0,0,0,0,0,1,0
310,Uncharacterized,9.16E-08,0,1,0,0,1,1,0,1,1,0,0
311,Uncharacterized,9.16E-08,0,0,0,0,0,1,0,1,0,0,0
312,Uncharacterized,9.15E-08,0,0,0,0,0,0,1,1,0,0,0
313,Uncharacterized,9.15E-08,1,0,0,0,0,0,0,1,0,0,0
314,Uncharacterized,9.15E-08,1,0,0,0,0,0,0,1,0,1,1
315,Uncharacterized,9.12E-08,1,0,0,0,0,0,0,0,0,1,0
316,Uncharacterized,9.11E-08,0,0,1,0,0,1,1,0,1,0,0
317,Uncharacterized,9.04E-08,0,0,0,1,0,1,1,0,1,0,0
318,Uncharacterized,8.91E-08,0,0,1,0,0,1,0,0,1,0,0
319,Uncharacterized,8.90E-08,0,0,0,1,0,1,0,0,1,0,0
320,Uncharacterized,8.83E-08,0,0,0,1,0,0,0,0,1,0,1
321,Uncharacterized,8.77E-08,1,0,0,0,0,1,0,0,1,0,0
322,Uncharacterized,8.77E-08,1,0,0,0,0,0,0,0,1,0,1
323,Uncharacterized,8.76E-08,0,0,0,1,0,0,1,0,1,0,0
324,Uncharacterized,8.76E-08,1,0,0,1,0,0,0,0,1,0,0
325,Uncharacterized,8.76E-08,0,0,1,0,0,0,0,0,1,0,1
326,Uncharacterized,8.75E-08,0,0,1,0,0,0,1,0,1,0,0
327,Uncharacterized,8.75E-08,1,0,1,0,0,0,0,0,1,0,0
328,Uncharacterized,8.75E-08,1,0,0,0,0,0,1,0,1,0,0
329,Uncharacterized,8.60E-08,0,1,0,1,1,1,1,0,1,0,0
330,Uncharacterized,8.54E-08,1,1,0,0,1,1,1,0,1,0,0
331,Uncharacterized,8.29E-08,0,1,0,1,1,0,1,0,1,0,0
332,Uncharacterized,8.29E-08,0,1,0,1,1,0,0,0,1,0,1
333,Uncharacterized,8.29E-08,1,1,0,1,1,0,0,0,1,0,0
334,Uncharacterized,8.28E-08,0,1,0,1,1,0,0,1,1,0,0
335,Uncharacterized,8.28E-08,0,1,0,0,1,1,1,1,1,0,0
